method,mean,std,count
ar1_hybrid,38.32973931821902,34.25042223218633,5
ar1_per_unit_only,38.32973931821902,34.25042223218633,5
naive,79.22639399385949,89.80624891468796,5
random_forest,110.82861013639786,191.0022377517768,5
