method,asep_mean,asep_std,aaep_mean,aaep_std
ar1,38.783864055072016,8.020893504130497,3.3939350260514147,0.11565819845004752
mean,37.651457996527895,6.6634848991491245,3.5427315745614716,0.10900895126002946
median,37.66490010319342,6.932114098370346,3.481566677845959,0.11290695448943547
