replication,method,asep,aaep
0,mean,35.21312626891561,3.667881949057647
0,median,35.44276922939107,3.5872872403084566
0,ar1,34.794156448275515,3.4708386896688372
1,mean,37.05381727138192,3.5558104314134393
1,median,35.920284534112334,3.4502274723072595
1,ar1,36.619585622849996,3.361466539588125
2,mean,34.81467122912592,3.4694923298441807
2,median,34.58077298495455,3.4232716730453236
2,ar1,48.40829848078429,3.3530055644230448
3,mean,35.03170065199999,3.6052416484830525
3,median,33.787400032855054,3.520125373390742
3,ar1,35.35125864273184,3.4308588856896125
4,mean,30.77944644523608,3.4848554726051884
4,median,31.224138510516177,3.437347224937038
4,ar1,30.650492274905332,3.382333259435074
5,mean,56.26928949642307,3.8397037073796483
5,median,57.37202016430673,3.7867462751020864
5,ar1,49.99879472041719,3.6529228401620446
6,mean,41.328507597457524,3.5430661408010287
6,median,40.86805529164443,3.4943009155335716
6,ar1,41.054260300928696,3.4092559159939033
7,mean,34.981982570521275,3.5894738518240383
7,median,34.75771354603007,3.5017090655059127
7,ar1,31.417337210043204,3.389759032742935
8,mean,31.40291239008096,3.405887046513518
8,median,30.517515895396784,3.3034891725428275
8,ar1,29.360865247354162,3.2304049228913474
9,mean,37.96058957787626,3.558096912515333
9,median,37.232669714216485,3.47028602418031
9,ar1,42.667600284178505,3.494952160218713
10,mean,34.519864505230224,3.5690446054777714
10,median,34.66801571950649,3.5165925224658294
10,ar1,35.46924726698612,3.4741001299494916
11,mean,46.122511621410275,3.5861329355230342
11,median,44.99965161275726,3.5205910508082687
11,ar1,45.03167325547114,3.4939524930066352
12,mean,44.999707356831145,3.6742092051583537
12,median,45.156488367704284,3.5908199575608317
12,ar1,48.4899759627304,3.573017278016888
13,mean,33.099378480509124,3.3367728342486087
13,median,32.62924520721673,3.279673198364046
13,ar1,35.6864695091733,3.2566928261468675
14,mean,35.11063428831452,3.5772882652109637
14,median,35.712035709722805,3.5497415604577136
14,ar1,34.527345337897785,3.412189426017605
15,mean,31.843877644554226,3.5040100468425286
15,median,31.801645753004035,3.421635764486108
15,ar1,30.016697719447492,3.3413110121758827
16,mean,33.89587145767597,3.515168268980642
16,median,33.58692150897181,3.4317193305589986
16,ar1,37.233248337656015,3.4318033095371474
17,mean,52.715757965967974,3.6692158042118095
17,median,54.097163372494464,3.6359890589882
17,ar1,45.34734282408752,3.420435906427479
18,mean,33.571128342561444,3.4744716440738648
18,median,33.291881619829475,3.4347865366142427
18,ar1,34.767771420832844,3.320682140337334
19,mean,40.047794372435916,3.4583974177903265
19,median,40.163142303576876,3.4274893362155696
19,ar1,37.79147875416698,3.328437617624945
20,mean,33.68050979454211,3.458797588332817
20,median,33.74334111398703,3.424057873760368
20,ar1,32.51329247231498,3.2928968576861966
21,mean,35.2857010518546,3.47156559749487
21,median,34.324587494116415,3.3544910472083864
21,ar1,33.59432420376536,3.297704062021214
22,mean,27.953418737227466,3.3518382953593835
22,median,27.81387353806091,3.2837788571997364
22,ar1,26.982340251347917,3.199590859052499
23,mean,29.738404342288757,3.334881593480392
23,median,29.56600150518405,3.272490344304116
23,ar1,29.70982661100757,3.1892260808376034
24,mean,28.201968624451506,3.438534115554267
24,median,27.910012316486064,3.3589402890676006
24,ar1,25.864626268067074,3.183933581275484
25,mean,33.15788763333786,3.553221751790559
25,median,32.563928439892244,3.4785165056679523
25,ar1,31.40129575922442,3.3526120433863924
26,mean,38.65727608497867,3.6246000570988026
26,median,38.20949974817592,3.517436163319531
26,ar1,37.24180634182346,3.4221057039365883
27,mean,38.32631297461729,3.585795856191524
27,median,38.121361619384395,3.5487280932446343
27,ar1,36.756986265098384,3.388931829356658
28,mean,32.949822750306225,3.5519616386370156
28,median,32.991453397283124,3.4724878167102817
28,ar1,32.204932059235226,3.4218687171536257
29,mean,39.5175977890281,3.494944441988055
29,median,39.98768088241172,3.4362923565419496
29,ar1,40.53067154593176,3.3761263426440458
30,mean,45.211889910316806,3.639575138718764
30,median,44.76777519478291,3.5720277382466716
30,ar1,44.66053382590266,3.4549842608320667
31,mean,44.35117664633836,3.6098215859379836
31,median,45.38572133427083,3.569653141167889
31,ar1,39.55591345256793,3.3972582556809803
32,mean,40.52171880776018,3.558383237561585
32,median,39.074607326851535,3.4541657683432234
32,ar1,40.05974091422322,3.3786305286469047
33,mean,33.03853617589621,3.570822678848866
33,median,32.94263791382682,3.511524873195354
33,ar1,30.991715256362763,3.3629178180024315
34,mean,40.06139643000634,3.7913571808006976
34,median,40.85493150836651,3.7070231203723276
34,ar1,36.74122341004773,3.5517935143839336
35,mean,56.909049478909175,3.6917468823838133
35,median,58.671160394769544,3.6668567504299037
35,ar1,55.18003042806252,3.539237926857828
36,mean,36.650402394723194,3.520609804447522
36,median,35.38858746049533,3.4333219227191374
36,ar1,39.75346356480415,3.3704704968897756
37,mean,39.27395183599512,3.549565924196699
37,median,40.14203923259813,3.50833964206292
37,ar1,37.48811660954743,3.4091166126370323
38,mean,25.999867025269854,3.322813093355715
38,median,26.175901154458426,3.2589339254277023
38,ar1,26.297642051940098,3.2095128227927123
39,mean,41.960242454280774,3.5518836611681217
39,median,40.720193113031144,3.508675085322146
39,ar1,39.456535095974274,3.3724004670571652
40,mean,36.99631046260976,3.613725343084765
40,median,37.21577760559507,3.5442574369918636
40,ar1,34.153154085055604,3.4121153997792586
41,mean,40.08016918260049,3.518336624332933
41,median,39.50411244011141,3.4160922355974086
41,ar1,38.730949062906646,3.3128526075562297
42,mean,46.191467980808554,3.476963077701808
42,median,47.664896892182284,3.457682788738086
42,ar1,42.23601883803337,3.2919164974319646
43,mean,32.938776034029026,3.424432797611758
43,median,32.90182636437059,3.375748591953725
43,ar1,44.95493982380393,3.3306943818495105
44,mean,30.63971537796832,3.4795303171086065
44,median,31.529773235511687,3.4571732223746885
44,ar1,29.13666453549174,3.2879395983686437
45,mean,39.71972930555281,3.5788051865878074
45,median,39.11530775042348,3.5048367571127996
45,ar1,42.34116615813591,3.478555352204117
46,mean,29.906892013459128,3.50348122396062
46,median,30.112281346507135,3.4433192930591137
46,ar1,29.06062602510362,3.384024045095049
47,mean,45.02314967498796,3.7423634982276286
47,median,44.30449804508608,3.6653975031400114
47,ar1,42.35427043107013,3.577814354753958
48,mean,39.92646559589748,3.520571727055023
48,median,40.433364288931195,3.4706746054449327
48,ar1,38.854047278304456,3.31671007735621
49,mean,45.9938075351642,3.565846831594574
49,median,47.30989412673513,3.508667550907397
49,ar1,42.26170323511655,3.4340239504007024
50,mean,33.16117233246279,3.490616291978598
50,median,33.57465690954306,3.415452935101007
50,ar1,32.96760529333356,3.3250352099046667
51,mean,35.10487178818923,3.4900378144587854
51,median,34.800638024595365,3.3940055215923324
51,ar1,50.12013458725728,3.4210352397191817
52,mean,35.84209969949203,3.6389256366297404
52,median,36.07154541317004,3.603300560787585
52,ar1,35.07515351797127,3.533437454555311
53,mean,39.904164549201695,3.658640655393722
53,median,40.65989826378561,3.6397560853536235
53,ar1,49.70315537802009,3.548478188825491
54,mean,34.08712172329877,3.51981632031455
54,median,33.48182372678733,3.4337591995151877
54,ar1,32.66908133224329,3.314348432687909
55,mean,41.85648974391783,3.73672883434577
55,median,42.54098889602121,3.6903776124936076
55,ar1,51.19989278486518,3.6407980918441267
56,mean,33.73138328734774,3.4940688817005685
56,median,33.31149864315056,3.4249892880604964
56,ar1,33.66331145167344,3.3087066690221945
57,mean,52.165019490240724,3.7428900525147553
57,median,53.60728143301823,3.6887462149414723
57,ar1,48.5444938451648,3.527461604501744
58,mean,40.169167060052544,3.592847945462518
58,median,40.25630064754206,3.5458524183076663
58,ar1,38.265453153308336,3.464478172525009
59,mean,41.14113073518901,3.5545567705935173
59,median,41.48938355564865,3.5100287259330254
59,ar1,57.79841935253501,3.5316161095414125
60,mean,26.98724023906176,3.4240145832455138
60,median,26.379587921467497,3.320858513022308
60,ar1,25.062124571564,3.2193731271638173
61,mean,29.552716318673514,3.4655564752153976
61,median,29.802283118386516,3.4001913103100567
61,ar1,28.14311608173635,3.2591459917492176
