time,mean,std
1962,5.311883458580505,5.168587642308131
1963,5.096324387437486,5.748155243758428
1964,6.328195981477811,5.592608991287892
1965,5.822821418379629,5.658875307894265
1966,4.685195958506486,4.471306274400513
1967,4.104659808016429,6.977128662662646
1968,6.2131785966961885,7.681474013421832
1969,6.7417378550745735,4.571110915377815
1970,6.6053560692810604,7.796020026047481
1971,5.2331687058933385,4.4431650568403125
1972,5.488939331096077,6.138213354727754
1973,5.695889641876071,8.397904056770424
1974,5.537034186318879,6.453015341919576
1975,2.436510389470475,5.6696285206529256
1976,6.098186093596487,6.513615786632857
1977,4.297628972282148,5.223630511359531
1978,4.455972596836165,5.382751074996721
1979,4.29933946010356,6.451707909854703
1980,2.9598809924101275,6.321565130127901
1981,2.471197195126074,5.979317914227264
1982,1.1496725244790769,5.041369098121297
1983,1.3390061876916275,5.185520849517429
1984,3.3031468271653406,4.633022006745745
1985,3.043878035399604,4.427821250673282
1986,3.429761829273526,4.696955471031268
1987,3.7413451812618748,4.895049781721957
1988,4.569605374191238,5.538582911823792
1989,3.2009785993582702,4.961477294258966
1990,3.1320849663084664,7.96128361373282
1991,1.5694782411105002,8.406493118489134
1992,1.229924764420123,10.765072492930107
1993,1.4988060910809515,7.3095752179730145
1994,2.1747868519158144,7.943297329142921
1995,3.9434780904432887,5.085046892801848
1996,4.731582195421255,6.602002963579986
1997,5.55337494063504,12.51219466048664
1998,3.57604037404335,5.157652496115389
1999,3.244502228089809,5.102242881584843
2000,4.553676842162873,5.338787164659301
2001,3.3237726881959326,5.251787023539969
2002,3.4586060508999936,4.641525462313234
2003,3.947946910163129,5.288875654348295
2004,5.8873246762615175,5.552181897813796
2005,5.071608629582508,4.004397253359988
2006,5.779185660971498,4.24965628481538
2007,5.582882920738824,4.2564044699659895
2008,3.767014894577161,4.2657687659716865
2009,-0.07003116221235144,5.709762015466212
2010,4.349030295907857,4.210517660784115
2011,3.717522608654714,5.303308677709711
2012,3.401326503498071,7.028590272636397
2013,3.142423827176533,4.7372464330862
2014,3.244823666820144,3.506588831939237
2015,2.85023632357086,4.109906902453207
2016,3.041568276585096,3.766880052726195
2017,3.590996167202846,6.036685401122622
2018,3.0169898869740743,3.220253303506972
2019,2.7580728328591975,3.805197978843683
2020,-4.93182465092146,8.15836489276085
2021,5.7443891982528985,5.584361291219084
2022,4.446529252586907,6.258389531360456
2023,3.3975361207033523,6.250075615073062
2024,3.233976759511115,4.328518986597325
2025,3.581752328075062,2.7072281822502973
