replication,method,asep
76,naive,41.33680791556731
76,ar1,28.001299103013462
76,random_forest,25.97861182721492
77,naive,50.70711637746825
77,ar1,61.20407821764909
77,random_forest,27.46731281129945
78,naive,54.802690094844124
78,ar1,38.97420334220164
78,random_forest,40.20071962891404
79,naive,43.62350126279596
79,ar1,33.89061885983294
79,random_forest,31.182423120226794
80,naive,65.68785920301403
80,ar1,37.228617348721556
80,random_forest,33.67101889073611
81,naive,65.37907898803759
81,ar1,47.945110622513326
81,random_forest,29.7561645422568
82,naive,61.97239360340545
82,ar1,40.78186755110177
82,random_forest,36.037826575049934
83,naive,68.59402264853207
83,ar1,41.328794613239026
83,random_forest,37.970659403934064
84,naive,58.370862156289114
84,ar1,40.54363551950112
84,random_forest,40.28611808499233
85,naive,71.2917967465495
85,ar1,34.89607463439857
85,random_forest,32.55698583809433
86,naive,53.85667054971514
86,ar1,34.38118607183725
86,random_forest,33.28433621896336
87,naive,51.81567177506247
87,ar1,39.13817967581622
87,random_forest,34.5152586403115
88,naive,60.68715499440586
88,ar1,45.661847719203415
88,random_forest,39.41781986367829
89,naive,57.16067643514262
89,ar1,46.727721177085606
89,random_forest,28.601433531665048
90,naive,59.01952014233894
90,ar1,42.30079735055171
90,random_forest,41.53004948786685
91,naive,56.491373796932464
91,ar1,33.397963886193416
91,random_forest,32.02396994127062
92,naive,56.412155771962716
92,ar1,41.10858847940368
92,random_forest,35.16148422802321
93,naive,81.95509085916956
93,ar1,48.86826357890082
93,random_forest,42.31291843058341
94,naive,60.7862249705998
94,ar1,41.43424118443607
94,random_forest,34.52097210101389
95,naive,37.50246008637639
95,ar1,27.163188047705315
95,random_forest,24.66087697842554
96,naive,53.90735780320884
96,ar1,40.96360819907175
96,random_forest,35.166524845210596
97,naive,51.22882418923633
97,ar1,44.52703659496871
97,random_forest,41.655985575011606
98,naive,46.635859797459844
98,ar1,30.709623464647983
98,random_forest,26.795958052101234
99,naive,50.50520778567175
99,ar1,34.78823238770601
99,random_forest,34.68242660609958
100,naive,60.667328526991824
100,ar1,50.69017668703773
100,random_forest,25.54234572985955
101,naive,47.34547302544095
101,ar1,38.45724600144842
101,random_forest,34.18928003775022
102,naive,48.93436090360717
102,ar1,30.184345620401203
102,random_forest,35.517140169250204
103,naive,65.91886948492274
103,ar1,40.446456175626885
103,random_forest,34.43791635808118
104,naive,41.99691096751818
104,ar1,27.793067604189808
104,random_forest,24.56463990032962
105,naive,61.3907699018976
105,ar1,34.37586234361958
105,random_forest,27.68330972557043
106,naive,52.642547702216284
106,ar1,32.70099765879772
106,random_forest,26.48338922457451
107,naive,49.86034661744739
107,ar1,30.527559769736555
107,random_forest,28.976864520945274
108,naive,70.49475948973222
108,ar1,59.54585268586498
108,random_forest,31.493074621152658
109,naive,45.39300278676274
109,ar1,35.74894832821546
109,random_forest,28.066466868763033
110,naive,77.3334530167169
110,ar1,44.093432259454076
110,random_forest,43.90712977211347
111,naive,58.5995536699527
111,ar1,58.74026822210022
111,random_forest,30.242887756520805
112,naive,49.16098063842482
112,ar1,35.042641516688114
112,random_forest,32.36299280773739
113,naive,40.16549987811011
113,ar1,35.74371597757736
113,random_forest,31.126860362818466
114,naive,62.64123103778026
114,ar1,47.88313047937046
114,random_forest,40.308745854929136
115,naive,58.46301395518526
115,ar1,53.13589607452946
115,random_forest,32.27293898629759
116,naive,41.49648234060244
116,ar1,28.110314643428055
116,random_forest,29.919914375814315
117,naive,51.685954283391496
117,ar1,32.51174894346198
117,random_forest,31.416089410140902
118,naive,62.201734782802625
118,ar1,34.880157645171636
118,random_forest,27.532223630043813
119,naive,64.94450183002367
119,ar1,50.693532936143924
119,random_forest,48.40030973265049
120,naive,42.040496131956864
120,ar1,33.10328194998837
120,random_forest,27.525581853391728
121,naive,46.73371285436082
121,ar1,35.62718077047684
121,random_forest,32.69317779325964
122,naive,42.07663816609203
122,ar1,31.599998550258338
122,random_forest,32.46033148202561
123,naive,48.98719911428317
123,ar1,32.33702263682455
123,random_forest,28.691638173187677
124,naive,64.14276046664769
124,ar1,45.63260026174359
124,random_forest,36.637011571867895
125,naive,40.27613625583711
125,ar1,31.6702510125748
125,random_forest,30.342947771096373
126,naive,46.661337158104004
126,ar1,32.23012793610753
126,random_forest,29.176893983662584
127,naive,46.98037649779314
127,ar1,33.5414880526261
127,random_forest,30.07218485562024
128,naive,79.64736441030855
128,ar1,58.427379966441116
128,random_forest,35.297986517207676
129,naive,54.30930515398213
129,ar1,49.00249210086037
129,random_forest,45.64967108438541
130,naive,55.56634227248809
130,ar1,38.942760348450555
130,random_forest,34.212324733716784
131,naive,47.74559597685655
131,ar1,30.82475782550999
131,random_forest,30.54972018570265
132,naive,65.5086994376446
132,ar1,42.744239840923356
132,random_forest,37.705035154402275
133,naive,49.852404523988454
133,ar1,29.756938459555638
133,random_forest,32.220011395248704
134,naive,78.28228000027366
134,ar1,47.13783792772701
134,random_forest,42.69634531092082
135,naive,56.75874933318533
135,ar1,36.44716079229849
135,random_forest,33.90981278215424
136,naive,64.29858308796395
136,ar1,36.6852838018043
136,random_forest,31.26453505795249
137,naive,58.45016135239975
137,ar1,39.01292656504739
137,random_forest,36.99363960924567
138,naive,49.506212435995884
138,ar1,36.64148686055023
138,random_forest,30.40163134270795
139,naive,60.57190721612157
139,ar1,38.09781641470184
139,random_forest,34.429114400761385
140,naive,43.66798262039577
140,ar1,28.779798859025288
140,random_forest,27.61197334809398
141,naive,34.81083939156465
141,ar1,23.62514188928076
141,random_forest,24.152904114136923
142,naive,39.044056299611384
142,ar1,30.987666278567247
142,random_forest,27.957418602204168
143,naive,55.375854262135256
143,ar1,39.49687268094511
143,random_forest,40.24399617765305
144,naive,57.984535070495156
144,ar1,39.46655021015585
144,random_forest,39.259231078293475
145,naive,80.44033700542917
145,ar1,57.208950200546035
145,random_forest,37.45750345864705
146,naive,54.44183749987032
146,ar1,49.924186015163
146,random_forest,44.242884041747764
147,naive,57.41621540793522
147,ar1,35.19139128914464
147,random_forest,31.622953261021706
148,naive,55.832301999975215
148,ar1,47.35328776189385
148,random_forest,34.24249544630603
149,naive,71.12831143623906
149,ar1,46.757718096777346
149,random_forest,33.45817046831761
150,naive,46.47402424221552
150,ar1,32.51177357576624
150,random_forest,30.439724841738833
151,naive,47.566862633493194
151,ar1,35.87887438838442
151,random_forest,30.460417853767527
152,naive,52.77294663279145
152,ar1,34.71246251684567
152,random_forest,29.74733187819269
153,naive,74.3993112516268
153,ar1,41.66918252125011
153,random_forest,41.1420415058048
154,naive,50.69220673679709
154,ar1,40.406441007741094
154,random_forest,33.98654122957396
155,naive,37.91887271114325
155,ar1,24.699917953299995
155,random_forest,24.775320999817946
156,naive,41.050470166161766
156,ar1,35.55006459206485
156,random_forest,29.704996429400584
157,naive,55.35261438780857
157,ar1,40.72781535091518
157,random_forest,36.56825154917271
158,naive,65.62173057562057
158,ar1,37.06527879942796
158,random_forest,29.33381552201855
159,naive,74.38127077266384
159,ar1,49.915090131591896
159,random_forest,30.710960886032428
160,naive,77.62938187725538
160,ar1,49.00690404692588
160,random_forest,42.09793522652713
161,naive,53.56833698224801
161,ar1,44.89409758987915
161,random_forest,40.42727639926881
162,naive,56.889014048309484
162,ar1,44.27534825313353
162,random_forest,30.477068423786488
163,naive,59.077194231434824
163,ar1,40.43098140967784
163,random_forest,31.088057001465828
164,naive,61.330028842176254
164,ar1,39.42899445879941
164,random_forest,34.451646184833834
165,naive,72.43900617300875
165,ar1,41.77229511537207
165,random_forest,37.3560100256752
166,naive,63.94581655661355
166,ar1,37.398686766271034
166,random_forest,34.37431974662446
167,naive,52.314670546469074
167,ar1,44.25665629475201
167,random_forest,26.40719131587102
168,naive,53.086540181339565
168,ar1,35.387828801225865
168,random_forest,27.430706593167013
169,naive,56.371862969215364
169,ar1,43.908008856788264
169,random_forest,38.364523358598234
170,naive,64.73193401624319
170,ar1,53.742588638209
170,random_forest,51.40555008156637
171,naive,50.72676894226907
