unit,sqerr_ar1,sqerr_naive
1,0.8885645555349845,1.2110632287218537
2,0.9999032240346352,1.2635537775784254
3,0.8590514461224824,1.1236922713439244
4,1.0637274296037331,1.3000163659434425
5,1.0041094514844224,1.246050633139782
6,1.0488652883077636,1.313303783670773
7,0.9522014745789025,1.2629949246075096
8,0.9043470922635185,1.1393564064366788
9,0.9578319596630237,1.1621007732818436
10,0.9801350397067154,1.1331878720402628
11,0.9808536425232623,1.278749853181406
12,1.1783043022954212,1.467006618649582
13,0.8895094394877038,1.0983327199279485
14,0.9960277313022304,1.2700213353580814
15,1.1876223897043054,1.3554509605914395
16,1.0833984948820516,1.38430807560552
17,0.7468262994604609,0.9833488962427138
18,0.8908761622126953,1.0629108618105327
19,1.0064508543933186,1.3308865684914617
20,1.0243578388294377,1.2715892687037826
21,0.8560423740280586,1.038361394246918
22,1.0094521382269313,1.431177559315378
23,0.9267044933974538,1.1545055353976637
24,0.8509642923754022,1.0997715810009965
25,1.0603044336134613,1.3905353511317986
26,0.9622801097960152,1.1721552948633291
27,0.966490189901666,1.1576543172168883
28,0.8604877282241494,1.0140063411209235
29,1.114752183274189,1.3327662984889592
30,1.0773510768536527,1.352907783719099
31,0.8836427410299156,1.1404224498161077
32,1.2023399681240576,1.446752296831583
33,1.0714275410934406,1.4529601769497498
34,1.0724250691120478,1.2811290364663241
35,1.2689404181006299,1.6720029861733776
36,0.9752325252380772,1.3165183055947534
37,1.1014709154402558,1.3592450165328473
38,0.8325797361961397,0.9397526325156013
39,0.8915542295636648,1.12891117419566
40,1.318345585968868,1.655826055330576
41,0.8578849030558737,1.12115221439257
42,1.1819909761505871,1.4866093792359494
43,0.9063037665764692,1.0962503679553748
44,0.9275257664491139,1.1744135321717981
45,0.8463898790230523,1.0237017812962559
46,1.0818364430789502,1.3963356966068956
47,0.7833985629670764,0.9743632562773622
48,0.9957122337547524,1.3272680848406055
49,1.021864000237721,1.2593303150289576
50,1.2319196505402608,1.554115672925823
