scenario,N,T,mean_loss1,mean_loss2,mean_loss_diff,share_model1_better,distance_to_paper
N100_T100,100,100,1.5533229766187033,1.5545851931608174,-0.0012622165421141724,0.508,0
N50_T100,50,100,1.5516127204752017,1.5508563990579305,0.0007563214172712667,0.51,50
N100_T50,100,50,1.5443340214927757,1.5463118750294693,-0.0019778535366934535,0.49,50
N50_T50,50,50,1.546526897312644,1.5404583536179115,0.006068543694732303,0.492,100
