replication,method,asep
35,naive,11.925643011627145
35,ar1,9.908899424234578
35,random_forest,10.440168774684071
36,naive,11.464851929547978
36,ar1,9.1219249326637
36,random_forest,10.258098353745888
37,naive,10.694988542340543
37,ar1,8.721044980113978
37,random_forest,10.042392522873673
38,naive,10.542239468304237
38,ar1,8.606761663131747
38,random_forest,9.737722257314239
39,naive,10.448724889228073
39,ar1,8.445700229238383
39,random_forest,9.553555321200628
40,naive,10.892350802212919
40,ar1,9.198859617717423
40,random_forest,10.121195247477022
41,naive,10.794017022467257
41,ar1,9.641710882811534
41,random_forest,9.885512039076321
42,naive,11.700797194162213
42,ar1,9.41051379583863
42,random_forest,10.212700791041993
43,naive,11.056071106528732
43,ar1,9.289204391044654
43,random_forest,10.128859213788626
44,naive,11.125851103562946
44,ar1,9.573469008043007
44,random_forest,9.785486339872755
45,naive,11.885561959178066
45,ar1,10.461408982115886
45,random_forest,11.205135804856036
46,naive,11.8369734214137
46,ar1,9.347078391001205
46,random_forest,10.097428627766993
47,naive,11.908947677277446
47,ar1,9.721754373864519
47,random_forest,10.824271051004757
48,naive,12.146529862050283
48,ar1,10.108959887276852
48,random_forest,10.750878883850358
49,naive,11.688189339926446
49,ar1,9.40713413189524
49,random_forest,9.93561601278818
50,naive,11.730752716575742
50,ar1,9.683551329673664
50,random_forest,10.454310996699745
51,naive,11.534045848616051
51,ar1,9.338819617163372
51,random_forest,10.023860548613456
52,naive,12.069169068327666
52,ar1,9.620248796098414
52,random_forest,10.327615515608858
53,naive,11.765831831270793
53,ar1,9.840017756383595
53,random_forest,11.442489587116363
54,naive,11.41714247882676
54,ar1,9.779016697305494
54,random_forest,10.783813689245786
55,naive,11.154573521402448
55,ar1,8.765978539006056
55,random_forest,9.947411470913286
56,naive,12.23853970105245
56,ar1,10.058989052826014
56,random_forest,10.626160569211951
57,naive,10.737261170435062
57,ar1,8.652697482382326
57,random_forest,9.89045284653903
58,naive,10.108177402073963
58,ar1,8.176739161435883
58,random_forest,9.38579313455761
59,naive,11.490154235058721
59,ar1,9.588655714759712
59,random_forest,10.060092551557714
60,naive,11.860670224978563
60,ar1,9.62323225357828
60,random_forest,10.748659987081172
61,naive,12.142606398904164
61,ar1,10.128299581786942
61,random_forest,10.929550146363772
62,naive,11.510321730418314
62,ar1,9.70882161007416
62,random_forest,10.35215084868695
63,naive,11.920095016692235
63,ar1,10.009786038777442
63,random_forest,10.783523319666399
64,naive,12.81796376946274
64,ar1,10.297923320872206
64,random_forest,10.796602125833429
65,naive,10.417857039674065
65,ar1,8.715768478034786
65,random_forest,9.184141078569656
66,naive,11.02361531856071
66,ar1,9.405552031314977
66,random_forest,10.231439103829771
67,naive,10.514126810158453
67,ar1,8.908492328050665
67,random_forest,9.71415162074848
68,naive,12.710356169932883
68,ar1,10.072311538692004
68,random_forest,10.621144376807594
69,naive,11.038684624007397
69,ar1,10.00536120168583
69,random_forest,10.455175767234893
70,naive,12.26514631278542
70,ar1,10.105899191573405
70,random_forest,10.454951737262261
71,naive,10.805480571803189
71,ar1,9.089664326288682
71,random_forest,10.27112429706238
72,naive,10.762275469650469
72,ar1,10.050096728338525
72,random_forest,10.886652818601677
73,naive,12.336340878180444
73,ar1,10.340756288588103
73,random_forest,11.331901202834144
74,naive,10.653447465762447
74,ar1,8.755236146864732
74,random_forest,9.67846492455896
75,naive,11.729409993180926
75,ar1,9.286098990396322
75,random_forest,10.395929901094041
76,naive,10.080779779045795
76,ar1,8.697550255372724
76,random_forest,9.659406263295146
77,naive,11.323634502140669
77,ar1,9.522331163292332
77,random_forest,10.221608858510526
78,naive,10.47227310850859
78,ar1,8.78131698382229
78,random_forest,9.332839703951286
79,naive,10.444414212829198
79,ar1,9.61670169033838
79,random_forest,10.703819625132871
80,naive,11.263131642213589
80,ar1,9.952742402530138
80,random_forest,10.383826033044636
81,naive,9.881791418417475
81,ar1,8.70555436067141
81,random_forest,9.37429895730647
82,naive,11.177450387685194
82,ar1,9.504430664307538
82,random_forest,10.033749814615506
83,naive,11.234745219402688
83,ar1,9.356665548446998
83,random_forest,10.160851172180216
84,naive,10.84815530496371
84,ar1,9.15061334318912
84,random_forest,10.011562082269316
85,naive,10.297861329494195
85,ar1,8.27818107649313
85,random_forest,9.53695689904926
86,naive,11.651399125480461
86,ar1,9.966279215828413
86,random_forest,10.86355233034599
87,naive,11.42991035610062
87,ar1,9.214216792015767
87,random_forest,10.465425288650135
88,naive,11.294233061754953
88,ar1,9.16207976665711
88,random_forest,10.013418244808841
89,naive,11.491741403849979
89,ar1,9.318876437380752
89,random_forest,10.797432834466264
90,naive,10.868125789850255
90,ar1,9.263453956840852
90,random_forest,10.77987025110538
91,naive,12.546304320643848
91,ar1,10.070855862539737
91,random_forest,10.472143091128453
92,naive,11.619557696668222
92,ar1,9.719791289381872
92,random_forest,10.422083219316624
93,naive,11.408039304978157
93,ar1,9.341962077073527
93,random_forest,10.394733691734183
94,naive,11.302881631753612
94,ar1,9.812735992839805
94,random_forest,10.726114894894762
95,naive,11.77528186571842
95,ar1,8.984810858983472
95,random_forest,10.206579233736212
96,naive,10.794850529400492
96,ar1,9.151398271318905
96,random_forest,9.588589614055273
97,naive,10.106003083579493
97,ar1,8.631890917340737
97,random_forest,9.59117492811058
98,naive,10.937862536943532
98,ar1,9.282295248829314
98,random_forest,10.222142681449165
99,naive,11.192070119958771
99,ar1,9.283378388014322
99,random_forest,10.290645799323354
100,naive,11.010399848404026
100,ar1,9.590249689855483
100,random_forest,10.309611299619986
101,naive,10.920842072838491
101,ar1,8.896846361906865
101,random_forest,9.993091045636183
102,naive,11.971538934065677
102,ar1,10.114349968373388
102,random_forest,11.539104150503729
103,naive,11.2027646065157
103,ar1,9.292884671932644
103,random_forest,10.487715595455475
104,naive,10.990900495778009
104,ar1,8.960255779891781
104,random_forest,9.749353032797863
105,naive,11.387001660893892
105,ar1,8.810699559406629
105,random_forest,10.375093959500367
106,naive,11.535670232833152
106,ar1,9.164700706592475
106,random_forest,10.417244918339609
107,naive,10.794973858802738
107,ar1,9.143231642602892
107,random_forest,9.505401790208285
108,naive,11.500373183769927
108,ar1,9.763061481227542
108,random_forest,11.190018512090813
109,naive,10.833803391602883
109,ar1,8.963882832237996
109,random_forest,10.176457328838065
110,naive,11.357860956680057
110,ar1,9.425152730545156
110,random_forest,9.824455650722028
111,naive,10.192010348274174
111,ar1,8.371426011859691
111,random_forest,9.325969306805042
112,naive,11.44275354973394
112,ar1,9.949726187105986
112,random_forest,10.640561676759157
113,naive,11.90278898837283
113,ar1,9.858295281450962
113,random_forest,10.611650332483611
114,naive,10.76217043511616
114,ar1,8.894433383762758
114,random_forest,9.677101747855936
115,naive,11.693073543962296
115,ar1,9.959634694540915
115,random_forest,11.224771711531963
116,naive,12.198372034267082
116,ar1,9.901174648836111
116,random_forest,11.204605128546032
117,naive,10.976877926750372
117,ar1,9.841274820046586
117,random_forest,10.915840629162581
118,naive,10.830705757923209
118,ar1,9.679396078986047
118,random_forest,10.72621572497787
119,naive,11.70148475402534
119,ar1,10.300905294451859
119,random_forest,11.244478670091384
120,naive,10.348867220369529
120,ar1,8.969208556001929
120,random_forest,9.645736369878476
121,naive,11.615064215271822
121,ar1,9.589253479219696
121,random_forest,10.619367769826443
122,naive,12.269756914610978
122,ar1,9.906097391849036
122,random_forest,10.960787814895884
123,naive,12.017750430230555
123,ar1,10.148413351330682
123,random_forest,10.868533829635846
124,naive,10.33052834584736
124,ar1,9.178581271818464
124,random_forest,9.924530664770037
125,naive,11.12946183031008
125,ar1,9.389482171548053
125,random_forest,10.214157631809725
126,naive,10.480304236063782
126,ar1,8.46284422995809
126,random_forest,9.214598653797374
127,naive,10.565693878116234
127,ar1,8.565713904197606
127,random_forest,10.023397647208965
128,naive,11.39464783324796
128,ar1,10.354562250986628
128,random_forest,11.801772260460934
129,naive,11.46916130940715
129,ar1,9.786507124248265
129,random_forest,10.514143923460493
130,naive,10.393861922532762
130,ar1,9.036790100565018
130,random_forest,9.492445154683297
131,naive,11.115852454640862
131,ar1,8.978384699565279
131,random_forest,9.931114047988922
132,naive,11.13760403401912
132,ar1,9.98640762493909
132,random_forest,11.515225055927793
133,naive,10.836836080686703
133,ar1,9.429266127491665
133,random_forest,9.952058692454816
134,naive,10.600399397488038
134,ar1,9.113852348945539
134,random_forest,10.37800622391098
135,naive,10.97434797136499
135,ar1,8.848526777893312
135,random_forest,9.731079116268468
136,naive,10.67989702537756
