design,replication,method,asep
random_rows,56,naive,43.14516468282218
random_rows,56,ar1,33.66331145167344
random_rows,56,random_forest,26.576046507188725
random_rows,57,naive,62.571924791754334
random_rows,57,ar1,48.5444938451648
random_rows,57,random_forest,44.35898357018775
random_rows,58,naive,57.03752791055861
random_rows,58,ar1,38.265453153308336
random_rows,58,random_forest,36.59461756155246
random_rows,59,naive,84.51742161303832
random_rows,59,ar1,57.79841935253501
random_rows,59,random_forest,36.78098775798274
random_rows,60,naive,40.15124569636041
random_rows,60,ar1,25.062124571564
random_rows,60,random_forest,24.981618067583387
random_rows,61,naive,43.22396603457189
random_rows,61,ar1,28.14311608173635
random_rows,61,random_forest,25.609410763915726
random_rows,62,naive,58.48741554047509
random_rows,62,ar1,40.44033324718681
random_rows,62,random_forest,35.95763853986939
random_rows,63,naive,48.57535837390026
random_rows,63,ar1,30.42784029690977
random_rows,63,random_forest,30.451984261661885
random_rows,64,naive,46.80483440224918
random_rows,64,ar1,35.34467042682073
random_rows,64,random_forest,26.668540200427547
random_rows,65,naive,55.429160551061614
random_rows,65,ar1,31.64512113150627
random_rows,65,random_forest,27.81736702877317
random_rows,66,naive,50.59122730999831
random_rows,66,ar1,40.48426291025284
random_rows,66,random_forest,33.04954197143351
random_rows,67,naive,61.121527425374204
random_rows,67,ar1,34.949550913585504
random_rows,67,random_forest,28.573481512421246
random_rows,68,naive,42.964693688669506
random_rows,68,ar1,41.56510027710561
random_rows,68,random_forest,37.64432763732308
random_rows,69,naive,47.92816850413684
random_rows,69,ar1,30.168318472428325
random_rows,69,random_forest,31.99260813354107
random_rows,70,naive,53.11607660413971
random_rows,70,ar1,29.541692332170022
random_rows,70,random_forest,27.424401146547552
random_rows,71,naive,49.81430393635388
random_rows,71,ar1,32.39142370996616
random_rows,71,random_forest,28.880198943907768
random_rows,72,naive,50.99099486208657
random_rows,72,ar1,30.96234472052248
random_rows,72,random_forest,29.62507527176545
random_rows,73,naive,47.52339087750318
random_rows,73,ar1,33.48790947681942
random_rows,73,random_forest,27.4900445553585
random_rows,74,naive,52.25989658146771
random_rows,74,ar1,43.80908482847864
random_rows,74,random_forest,40.37792667263346
random_rows,75,naive,50.94460641472097
random_rows,75,ar1,36.27747921916737
random_rows,75,random_forest,28.35555233363422
random_rows,76,naive,41.33680791556731
random_rows,76,ar1,28.001299103013462
random_rows,76,random_forest,25.97861071369685
random_rows,77,naive,50.70711637746825
random_rows,77,ar1,61.20407821764909
random_rows,77,random_forest,27.467327310214944
random_rows,78,naive,54.802690094844124
random_rows,78,ar1,38.97420334220164
random_rows,78,random_forest,40.20071999917446
random_rows,79,naive,43.62350126279596
random_rows,79,ar1,33.89061885983294
random_rows,79,random_forest,31.182423120226794
random_rows,80,naive,65.68785920301403
random_rows,80,ar1,37.228617348721556
random_rows,80,random_forest,33.67105899414653
random_rows,81,naive,65.37907898803759
random_rows,81,ar1,47.945110622513326
random_rows,81,random_forest,29.756164456878945
random_rows,82,naive,61.97239360340545
random_rows,82,ar1,40.78186755110177
random_rows,82,random_forest,36.037833366526485
random_rows,83,naive,68.59402264853207
random_rows,83,ar1,41.328794613239026
random_rows,83,random_forest,37.97065049203763
random_rows,84,naive,58.370862156289114
random_rows,84,ar1,40.54363551950112
random_rows,84,random_forest,40.28625016222748
random_rows,85,naive,71.2917967465495
